last_name, first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Renfroe, Hunter,592669,2022,.240,.438,.347,.323,.303,.199,90.5,17.7,32.7,10.9,
Rosario, Eddie,592696,2022,.200,.318,.258,.250,.249,.118,87.7,15.2,32.4,5.4,
Yelich, Christian,592885,2022,.258,.404,.328,.339,.360,.146,91.5,3.6,30.3,8.2,
Merrifield, Whit,593160,2022,.240,.356,.294,.288,.292,.116,87.1,15.1,37.9,4.2,
Bogaerts, Xander,593428,2022,.259,.383,.363,.323,.338,.124,88.1,10.2,30.3,6.5,
Polanco, Jorge,593871,2022,.248,.451,.333,.358,.361,.203,89,21.7,37.7,10.2,
Calhoun, Kole,594777,2022,.223,.382,.260,.294,.284,.158,90.8,15.4,40.4,9.8,
Duvall, Adam,594807,2022,.209,.395,.295,.293,.274,.186,88.3,23.4,36.2,12.8,
Alfaro, Jorge,595751,2022,.238,.397,.291,.295,.278,.160,89.4,8,38.5,11.2,
Profar, Jurickson,595777,2022,.251,.359,.320,.315,.340,.108,87.5,12.9,34.7,4,
Baez, Javier,595879,2022,.230,.378,.291,.285,.272,.149,87.9,9.6,29.7,8,
Hedges, Austin,595978,2022,.183,.264,.225,.240,.260,.082,84.2,16.7,31.9,3.1,
Lindor, Francisco,596019,2022,.254,.427,.342,.331,.326,.173,89.3,13.8,29.2,8.3,
Odor, Rougned,596059,2022,.207,.339,.278,.277,.279,.132,87.8,21.5,30.5,6.5,
Slater, Austin,596103,2022,.259,.429,.344,.351,.363,.170,89,6.6,43.2,10.5,
Story, Trevor,596115,2022,.221,.397,.316,.301,.290,.176,88.9,17.8,36,11.3,
Vogelbach, Daniel,596129,2022,.236,.428,.349,.350,.360,.192,89.4,15.8,38.1,10.6,
Sanchez, Gary,596142,2022,.220,.439,.290,.321,.298,.218,90.5,14,29.2,13.5,
Kepler, Max,596146,2022,.266,.412,.298,.338,.353,.146,89.1,11.2,31.9,7.1,
