last_name, first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Garcia, Luis,671277,2022,.260,.409,.303,.305,.285,.149,87.3,5.5,37.4,7.5,
Harris II, Michael,671739,2022,.268,.460,.367,.335,.312,.192,89.5,4.5,32.8,10.1,
Kirk, Alejandro,672386,2022,.278,.431,.347,.351,.367,.153,90.5,8.1,32,6.7,
Perdomo, Geraldo,672695,2022,.213,.282,.253,.269,.302,.069,85,12.1,28.1,2,
Robert, Luis,673357,2022,.272,.449,.324,.327,.307,.178,89.3,10,32.6,8.9,
Kim, Ha-Seong,673490,2022,.250,.368,.313,.309,.324,.119,86.7,16.1,34,4.2,
Suzuki, Seiya,673548,2022,.247,.419,.334,.327,.325,.172,89.6,11.2,36.9,11,
McCormick, Chas,676801,2022,.232,.414,.326,.325,.321,.183,88.1,12.8,33.5,10.2,
Franco, Wander,677551,2022,.285,.408,.323,.331,.340,.123,87.3,8.2,35.1,4.6,
Rodriguez, Julio,677594,2022,.254,.460,.366,.337,.319,.206,92,10.1,32.7,13.1,
Thomas, Alek,677950,2022,.238,.335,.272,.277,.285,.097,87.4,2.6,27.9,3.8,
Witt Jr., Bobby,677951,2022,.253,.427,.312,.314,.295,.175,89.7,16.8,32.5,8.7,
Torkelson, Spencer,679529,2022,.226,.378,.272,.305,.307,.151,90.5,15,35.4,8.4,
Kwan, Steven,680757,2022,.268,.341,.341,.312,.348,.073,85.1,11.8,34.6,1.4,
Miller, Owen,680911,2022,.246,.341,.287,.291,.307,.095,85.8,10.1,35,3.5,
Donovan, Brendan,680977,2022,.266,.365,.349,.339,.381,.099,87.7,6,32.7,3.4,
Stott, Bryson,681082,2022,.237,.340,.289,.284,.297,.103,88.1,13.1,29.4,4.4,
Abrams, CJ,682928,2022,.241,.316,.267,.266,.277,.075,86.5,6.8,28.6,2.1,
Greene, Riley,682985,2022,.246,.388,.303,.316,.318,.142,89.5,2.8,32,9.3,
Vaughn, Andrew,683734,2022,.255,.415,.327,.319,.311,.160,90.8,7.5,34.1,7.9,
Pasquantino, Vinnie,686469,2022,.289,.476,.365,.374,.380,.187,91.2,12.1,34.1,8.8,
